,Wolves,Sheep,Grass
0,13,1,0
1,14,1,0
2,16,1,0
3,17,1,0
4,14,1,0
5,9,1,0
6,10,1,0
7,10,2,0
8,10,2,0
9,11,2,0
10,12,3,0
11,11,3,0
12,10,3,0
13,7,3,0
14,6,3,0
15,6,3,0
16,8,3,0
17,9,4,0
18,10,4,0
19,11,4,0
20,7,3,0
21,7,3,0
22,8,3,0
23,6,3,0
24,5,3,0
25,4,3,0
26,4,3,0
27,5,4,0
28,5,4,0
29,6,4,0
30,6,5,0
31,7,5,0
32,7,5,0
33,5,5,0
34,5,6,0
35,5,7,0
36,3,8,0
37,3,9,0
38,3,10,0
39,3,11,0
40,3,12,0
41,3,13,0
42,3,13,0
43,3,15,0
44,4,16,0
45,2,18,0
46,2,20,0
47,2,21,0
48,3,22,0
49,3,24,0
50,2,26,0
51,2,28,0
52,2,29,0
53,2,31,0
54,2,32,0
55,2,34,0
56,3,36,0
57,3,44,0
58,3,51,0
59,3,51,0
60,3,51,0
61,3,57,0
62,3,65,0
63,4,67,0
64,4,70,0
65,4,79,0
66,4,88,0
67,4,94,0
68,5,106,0
69,4,114,0
70,6,122,0
71,7,136,0
72,7,152,0
73,8,166,0
74,8,180,0
75,8,189,0
76,9,205,0
77,10,222,0
78,10,239,0
79,11,257,0
80,12,292,0
81,13,318,0
82,16,339,0
83,17,366,0
84,20,383,0
85,23,409,0
86,24,432,0
87,27,473,0
88,29,500,0
89,32,530,0
90,34,554,0
91,37,580,0
92,41,618,0
93,47,666,0
94,52,700,0
95,58,729,0
96,66,755,0
97,70,804,0
98,76,838,0
99,86,883,0
100,93,925,0
101,103,963,0
102,117,1001,0
103,124,1041,0
104,133,1063,0
105,145,1097,0
106,159,1137,0
107,178,1144,0
108,200,1176,0
109,219,1182,0
110,239,1198,0
111,263,1186,0
112,284,1170,0
113,303,1147,0
114,320,1121,0
115,350,1084,0
116,378,1035,0
117,416,978,0
118,448,927,0
119,492,849,0
120,542,761,0
121,584,695,0
122,632,654,0
123,691,593,0
124,748,510,0
125,815,439,0
126,880,380,0
127,954,306,0
128,1030,219,0
129,1116,152,0
130,1193,93,0
131,1275,48,0
132,1364,14,0
133,1433,2,0
134,1538,1,0
135,1659,0,0
136,1759,0,0
137,1852,0,0
138,1956,0,0
139,2067,0,0
140,2160,0,0
141,2236,0,0
142,2291,0,0
143,2354,0,0
144,2416,0,0
145,2436,0,0
146,2487,0,0
147,2473,0,0
148,2429,0,0
149,2421,0,0
150,2399,0,0
151,2418,0,0
152,2389,0,0
153,2283,0,0
154,2242,0,0
155,2199,0,0
156,2103,0,0
157,2045,0,0
158,2000,0,0
159,1945,0,0
160,1856,0,0
161,1742,0,0
162,1670,0,0
163,1579,0,0
164,1523,0,0
165,1447,0,0
166,1439,0,0
167,1385,0,0
168,1368,0,0
169,1315,0,0
170,1216,0,0
171,1193,0,0
172,1176,0,0
173,1117,0,0
174,1106,0,0
175,1071,0,0
176,1012,0,0
177,972,0,0
178,921,0,0
179,890,0,0
180,843,0,0
181,786,0,0
182,753,0,0
183,715,0,0
184,682,0,0
185,636,0,0
186,578,0,0
187,520,0,0
188,480,0,0
189,466,0,0
190,465,0,0
191,425,0,0
192,396,0,0
193,387,0,0
194,347,0,0
195,299,0,0
196,284,0,0
197,270,0,0
198,274,0,0
199,252,0,0
200,230,0,0
201,210,0,0
202,195,0,0
203,174,0,0
204,151,0,0
205,115,0,0
206,101,0,0
207,89,0,0
208,89,0,0
209,87,0,0
210,76,0,0
211,65,0,0
212,53,0,0
213,40,0,0
214,43,0,0
215,34,0,0
216,31,0,0
217,32,0,0
218,28,0,0
219,22,0,0
220,25,0,0
221,29,0,0
222,28,0,0
223,18,0,0
224,15,0,0
225,12,0,0
226,10,0,0
227,10,0,0
228,6,0,0
229,6,0,0
230,4,0,0
231,2,0,0
232,2,0,0
233,2,0,0
234,2,0,0
235,2,0,0
236,2,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,0
259,0,0,0
260,0,0,0
261,0,0,0
262,0,0,0
263,0,0,0
264,0,0,0
265,0,0,0
266,0,0,0
267,0,0,0
268,0,0,0
269,0,0,0
270,0,0,0
271,0,0,0
272,0,0,0
273,0,0,0
274,0,0,0
275,0,0,0
276,0,0,0
277,0,0,0
278,0,0,0
279,0,0,0
280,0,0,0
281,0,0,0
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
